draw_date,first_prize,front3_1,front3_2,back3_1,back3_2,last2,digit1,digit2,digit3,digit4,digit5,digit6
2008-07-16,257374,344,401,486,576,41,2,5,7,3,7,4
2008-07-01,943671,096,287,490,523,50,9,4,3,6,7,1
2008-06-16,729111,339,345,639,870,75,7,2,9,1,1,1
2008-06-01,414875,370,666,747,916,35,4,1,4,8,7,5
2008-05-16,329231,193,120,355,214,69,3,2,9,2,3,1
2008-05-02,453011,001,133,001,792,62,4,5,3,0,1,1
2008-04-16,982800,008,043,584,802,64,9,8,2,8,0,0
2008-04-01,012653,124,195,200,586,71,0,1,2,6,5,3
2008-03-16,074946,077,974,085,158,33,0,7,4,9,4,6
2008-03-01,936685,056,085,371,691,05,9,3,6,6,8,5
2008-02-16,137054,344,512,630,892,80,1,3,7,0,5,4
2008-02-01,212684,311,472,732,796,26,2,1,2,6,8,4
2008-01-16,556010,413,548,942,965,81,5,5,6,0,1,0
2007-12-30,595411,267,490,741,787,81,5,9,5,4,1,1
2007-12-16,513501,425,432,460,702,96,5,1,3,5,0,1
2007-12-01,113410,418,485,627,659,18,1,1,3,4,1,0
2007-11-16,562481,130,198,752,844,73,5,6,2,4,8,1
2007-11-01,927907,213,277,524,648,88,9,2,7,9,0,7
2007-10-16,032988,158,663,685,846,48,0,3,2,9,8,8
2007-10-01,430667,090,104,126,667,76,4,3,0,6,6,7
2007-09-16,499336,247,273,604,608,45,4,9,9,3,3,6
2007-09-01,331810,293,505,518,520,69,3,3,1,8,1,0
2007-08-16,476207,234,236,312,424,93,4,7,6,2,0,7
2007-08-01,429924,006,048,885,962,29,4,2,9,9,2,4
2007-07-16,527384,105,183,334,947,77,5,2,7,3,8,4
2007-07-01,565151,146,287,638,949,76,5,6,5,1,5,1
2007-06-16,393194,424,589,907,989,41,3,9,3,1,9,4
2007-06-01,836393,242,433,523,739,05,8,3,6,3,9,3
2007-05-16,232897,585,751,858,924,25,2,3,2,8,9,7
2007-05-02,430374,442,553,729,881,81,4,3,0,3,7,4
2007-04-16,405105,013,522,866,987,63,4,0,5,1,0,5
2007-04-01,622780,022,677,794,814,93,6,2,2,7,8,0
2007-03-16,876763,001,191,350,906,85,8,7,6,7,6,3
2007-03-01,742425,294,801,942,949,61,7,4,2,4,2,5
2007-02-16,277859,384,607,625,979,95,2,7,7,8,5,9
2007-02-01,769925,239,287,865,893,56,7,6,9,9,2,5
2007-01-16,838739,263,293,803,845,54,8,3,8,7,3,9
2006-12-30,778584,164,403,811,971,07,7,7,8,5,8,4
